freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.349e+02,7.604e+01,1.061e+02,7.170e+02
1.5,2.355e+03,2.684e+02,5.412e+02,3.164e+03
2.9,2.607e+03,2.641e+02,5.870e+02,3.458e+03
4.4,2.847e+03,2.872e+02,6.094e+02,3.743e+03
5.9,3.719e+03,3.604e+02,5.860e+02,4.666e+03
7.4,4.634e+03,3.970e+02,7.072e+02,5.739e+03
8.8,4.891e+03,3.615e+02,6.340e+02,5.886e+03
10.3,6.873e+03,3.505e+02,8.170e+02,8.040e+03
11.8,9.189e+03,3.717e+02,1.106e+03,1.067e+04
13.3,1.104e+04,4.161e+02,1.090e+03,1.254e+04
14.7,1.172e+04,4.167e+02,8.983e+02,1.303e+04
16.2,1.012e+04,4.184e+02,7.305e+02,1.127e+04
17.7,1.037e+04,5.288e+02,7.636e+02,1.166e+04
19.1,1.208e+04,7.356e+02,6.595e+02,1.347e+04
20.6,1.510e+04,9.884e+02,6.263e+02,1.672e+04
22.1,2.132e+04,1.313e+03,7.097e+02,2.334e+04
23.6,2.903e+04,1.859e+03,6.714e+02,3.157e+04
25.0,3.789e+04,2.421e+03,6.473e+02,4.096e+04
26.5,5.622e+04,3.193e+03,7.131e+02,6.013e+04
28.0,7.019e+04,4.062e+03,7.170e+02,7.497e+04
29.5,7.928e+04,5.988e+03,8.220e+02,8.609e+04
30.9,9.379e+04,1.016e+04,9.216e+02,1.049e+05
32.4,9.352e+04,1.458e+04,9.357e+02,1.090e+05
33.9,1.021e+05,1.916e+04,9.815e+02,1.223e+05
35.3,9.818e+04,2.398e+04,8.724e+02,1.230e+05
36.8,1.095e+05,3.194e+04,9.794e+02,1.424e+05
38.3,9.886e+04,3.303e+04,1.144e+03,1.330e+05
39.8,8.487e+04,3.495e+04,1.378e+03,1.212e+05
41.2,9.924e+04,4.556e+04,1.910e+03,1.467e+05
42.7,9.552e+04,4.769e+04,2.154e+03,1.454e+05
44.2,8.396e+04,4.433e+04,2.131e+03,1.304e+05
45.7,7.155e+04,4.158e+04,1.696e+03,1.148e+05
47.1,7.744e+04,4.714e+04,1.347e+03,1.259e+05
48.6,8.953e+04,4.714e+04,1.040e+03,1.377e+05
50.1,8.761e+04,3.450e+04,7.657e+02,1.229e+05
51.5,8.815e+04,2.803e+04,6.963e+02,1.169e+05
53.0,8.206e+04,2.236e+04,7.129e+02,1.051e+05
54.5,7.512e+04,1.788e+04,7.926e+02,9.379e+04
56.0,8.648e+04,1.770e+04,9.473e+02,1.051e+05
57.4,7.840e+04,1.256e+04,1.123e+03,9.208e+04
58.9,6.926e+04,8.808e+03,1.419e+03,7.949e+04
60.4,6.687e+04,7.993e+03,1.880e+03,7.674e+04
61.9,7.176e+04,6.752e+03,2.486e+03,8.099e+04
63.3,7.580e+04,6.534e+03,3.204e+03,8.553e+04
64.8,7.660e+04,6.785e+03,4.752e+03,8.813e+04
66.3,7.827e+04,8.436e+03,7.026e+03,9.373e+04
67.7,8.555e+04,1.334e+04,1.082e+04,1.097e+05
69.2,8.554e+04,1.833e+04,1.427e+04,1.181e+05
70.7,7.546e+04,1.961e+04,1.490e+04,1.100e+05
72.2,6.770e+04,2.209e+04,1.759e+04,1.074e+05
73.6,6.267e+04,2.739e+04,2.238e+04,1.125e+05
75.1,5.347e+04,3.699e+04,2.920e+04,1.197e+05
76.6,4.270e+04,4.397e+04,3.400e+04,1.207e+05
78.1,3.369e+04,4.493e+04,3.501e+04,1.136e+05
79.5,2.484e+04,3.953e+04,3.310e+04,9.747e+04
81.0,2.433e+04,3.315e+04,3.063e+04,8.810e+04
82.5,2.390e+04,2.298e+04,2.330e+04,7.018e+04
83.9,2.294e+04,1.542e+04,1.650e+04,5.486e+04
85.4,2.369e+04,9.834e+03,1.057e+04,4.409e+04
86.9,1.895e+04,5.631e+03,5.939e+03,3.052e+04
88.4,1.942e+04,4.804e+03,5.215e+03,2.944e+04
89.8,2.295e+04,4.036e+03,4.988e+03,3.198e+04
91.3,2.449e+04,3.308e+03,4.038e+03,3.184e+04
92.8,2.965e+04,4.141e+03,3.534e+03,3.732e+04
94.3,3.635e+04,6.909e+03,3.304e+03,4.657e+04
95.7,3.665e+04,9.397e+03,2.176e+03,4.823e+04
97.2,4.224e+04,1.213e+04,1.457e+03,5.582e+04
98.7,5.344e+04,1.575e+04,1.113e+03,7.031e+04
100.1,6.142e+04,2.037e+04,8.357e+02,8.263e+04
101.6,6.028e+04,2.621e+04,6.483e+02,8.713e+04
103.1,5.985e+04,3.309e+04,6.468e+02,9.358e+04
104.6,6.420e+04,3.751e+04,6.940e+02,1.024e+05
106.0,7.568e+04,4.149e+04,7.970e+02,1.180e+05
107.5,6.928e+04,3.754e+04,9.662e+02,1.078e+05
109.0,6.166e+04,3.070e+04,1.365e+03,9.372e+04
