freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.674e+01,1.693e+02,2.109e+01,2.871e+02
1.5,4.292e+02,5.762e+02,9.701e+01,1.102e+03
2.9,6.288e+02,6.348e+02,1.080e+02,1.372e+03
4.4,5.672e+02,6.191e+02,9.035e+01,1.277e+03
5.9,5.636e+02,9.774e+02,9.559e+01,1.637e+03
7.4,7.537e+02,1.291e+03,1.261e+02,2.171e+03
8.8,1.009e+03,1.484e+03,1.719e+02,2.665e+03
10.3,1.030e+03,1.732e+03,1.756e+02,2.938e+03
11.8,1.020e+03,2.232e+03,1.770e+02,3.429e+03
13.3,1.100e+03,2.838e+03,1.834e+02,4.121e+03
14.7,1.453e+03,3.480e+03,2.439e+02,5.177e+03
16.2,1.886e+03,2.506e+03,3.434e+02,4.735e+03
17.7,2.396e+03,2.257e+03,4.508e+02,5.104e+03
19.2,3.250e+03,2.510e+03,6.105e+02,6.371e+03
20.6,3.861e+03,3.001e+03,7.184e+02,7.580e+03
22.1,4.224e+03,3.340e+03,7.466e+02,8.310e+03
23.6,4.141e+03,3.786e+03,7.547e+02,8.681e+03
25.1,4.892e+03,5.058e+03,9.312e+02,1.088e+04
26.5,6.342e+03,6.844e+03,1.089e+03,1.427e+04
28.0,8.845e+03,9.163e+03,1.465e+03,1.947e+04
29.5,9.614e+03,1.120e+04,1.527e+03,2.234e+04
30.9,9.412e+03,1.081e+04,1.293e+03,2.151e+04
32.4,9.433e+03,1.102e+04,1.121e+03,2.158e+04
33.9,1.055e+04,1.312e+04,1.025e+03,2.470e+04
35.4,1.589e+04,2.115e+04,1.188e+03,3.822e+04
36.8,2.108e+04,2.991e+04,1.255e+03,5.225e+04
38.3,2.388e+04,3.520e+04,1.101e+03,6.019e+04
39.8,2.599e+04,3.892e+04,1.151e+03,6.606e+04
41.3,2.950e+04,4.530e+04,1.296e+03,7.610e+04
42.7,2.759e+04,4.156e+04,1.158e+03,7.031e+04
44.2,2.984e+04,4.003e+04,9.490e+02,7.082e+04
45.7,3.282e+04,3.652e+04,9.019e+02,7.024e+04
47.2,3.569e+04,3.117e+04,9.579e+02,6.781e+04
